                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2145,                 2.9247,                 2.9384,                0.79918,                0.86311,                0.91838,                0.74286,                 2.5347,                 1.4526,                 2.3391,                      0,                      0,                      0
                      2,                 1.9342,                 3.8761,                 2.4687,                0.80233,                0.86064,                0.91837,                0.74292,                 2.5384,                 1.4408,                 2.3364,             1.1782e-06,             1.1782e-06,             1.1782e-06
                      3,                 1.9647,                 3.6885,                 2.8518,                0.79631,                 0.8502,                0.91922,                0.74283,                 2.5372,                 1.4622,                 2.3331,             2.3329e-06,             2.3329e-06,             2.3329e-06
